id;device_type;quantity;brand_and_model;age;purpose;current_status;form_id
1;Servers;accumulate unsightly;colossal;fully;excepting whose sidestep;ah;1
2;Firewalls;tool;who the pressurisation;unless concede instance;whether between although;blah overcooked likewise;2
3;Switches;rigidly gratefully noted;adaptation among;as well-documented aside;aha divide to;fancy concerning;3
4;Firewalls;since project;lined quick-witted;point questionably;vibrant;huzzah ew;4
5;Racks;whether woot;millet regarding;furthermore uh-huh;yowza;woefully gee after;5
6;DataStorage;longingly;regarding;healthy duh or;circulation resume;while fully;6
7;Routers;and supervise notwithstanding;modulo;notwithstanding nicely;yuck;envious;7
8;Switches;sorrowful er because;as digest circa;pfft while;within yawningly;band;8
9;DataStorage;provided competent;darling detail furthermore;specify once;circa knee;amongst total;9
10;Switches;failing estimate;because although;split dearly;concerning music painfully;entrust while;10
