id;future_plan;status;create_date;update_date;user_id;organization_id
1;over monkey;SUBMITTED;2024-01-30T09:00:22;2024-01-30T07:20:10;1;1
2;nightgown;INPROGRESS;2024-01-30T10:38:01;2024-01-31T04:10:32;2;2
3;galvanise yippee yet;SUBMITTED;2024-01-31T01:05:16;2024-01-31T05:21:19;2;3
4;innocently;SUBMITTED;2024-01-30T18:41:38;2024-01-30T06:26:10;1;4
5;until;SUBMITTED;2024-01-30T21:15:00;2024-01-30T08:54:02;2;5
6;except;SUBMITTED;2024-01-30T21:23:48;2024-01-31T00:49:52;2;6
7;ugh;SUBMITTED;2024-01-30T10:40:02;2024-01-30T18:52:39;2;7
8;buckwheat;SUBMITTED;2024-01-30T18:30:11;2024-01-30T21:45:40;1;8
9;quizzical viciously;INPROGRESS;2024-01-30T05:42:08;2024-01-30T15:08:04;2;9
10;viciously actually recondition;INPROGRESS;2024-01-30T21:44:14;2024-01-30T09:44:08;2;10
