id;question_1;question_2;question_3;question_4;question_5;question_6;form_id
1;centre ack;although flugelhorn yahoo;vacantly buy detour;lest;even since;constitution phooey hmph;1
2;so correspond;wherever embellish yawningly;within interestingly;consequently fat terribly;finally yowza;that;2
3;whenever ensue;aw;inside;aha oatmeal lest;hence quicker;well but desert;3
4;advent;ouch unconscious;although;circa satisfaction gosh;in down proper;barstool;4
5;boohoo;dimly as;vice yippee;aside hm supposing;soon very;amid commonly as;5
6;following frilly;dishonest;after parsley warmly;indeed why hence;but willing;yippee;6
7;whilst;impeccable honestly mmm;boohoo;acquit fooey;lest;boo;7
8;that cheek unnerve;quizzically package gadzooks;clear stylish;oof past so;ha international;hm;8
9;lest out where;longitude;thunderhead geez;state crate chaff;inasmuch near;ick bah;9
10;treatment;appetite angry;barber;title meh above;winkle;boulder;10
