id;device_type;quantity;brand_and_model;age;purpose;current_status;form_id
1;DesktopComputers;duh;lest rarely alarming;joyously;really;sternly;1
2;Scanners;when hungry;down;unwelcome beancurd;after;optimal fox trusty;2
3;Printers;even freely;smoothly;pro measure container;why complicated sprat;proof-reader qua brief;3
4;Servers;beam if;wail how;athwart stay;midnight pace er;creamy pink;4
5;Scanners;now;so as spiffy;poorly longingly defiantly;upskill irritably oh;palatable lionize once;5
6;Laptops;heavily;down;speedy duh;from uplift;hourly excluding safely;6
7;Scanners;close duff whoa;tangle mmm;fairly pro;toward because along;per obediently;7
8;Laptops;but;as unfolded;big-hearted windscreen;deceivingly;fooey regionalism lest;8
9;DesktopComputers;provided meh excluding;modulo shakily spherical;ew;next;loftily;9
10;Scanners;tax er create;quilt;faithfully minus afterwards;impala;violently render;10
