id;dhcp;dns;active_directory;shared_drives;mail_server;firewalls;load_balancing;network_monitoring;antivirus;integrated_systems;anti_spam;wpa;auto_backup;physical_security;storage_server;security_audit;disaster_recovery;proxy_server;wds_server;form_id
1;false;false;false;false;true;true;false;true;true;false;true;false;true;true;false;true;false;true;false;1
2;false;false;false;true;true;true;true;true;true;false;true;true;false;true;false;false;true;true;false;2
3;false;true;false;true;false;false;true;false;true;false;false;false;true;false;false;true;false;false;false;3
4;false;false;false;false;false;false;true;false;false;true;true;false;false;false;false;false;true;false;true;4
5;false;true;false;true;true;true;true;true;true;false;false;false;true;false;false;false;true;false;false;5
6;false;true;true;true;false;false;true;true;true;false;false;false;true;false;true;false;false;false;true;6
7;true;false;false;true;false;true;true;false;false;true;true;true;false;false;false;true;false;false;true;7
8;true;true;false;true;true;true;false;true;true;false;false;true;false;false;true;true;false;true;false;8
9;false;true;true;true;false;false;true;true;true;true;false;true;true;false;true;false;false;false;false;9
10;true;true;true;false;false;true;true;false;true;false;false;false;true;false;false;true;true;false;false;10
