id;name;code;description;address;create_date;update_date;user_id
1;authorise anenst;um or;pish;following;2024-01-30T15:40:42;2024-01-30T17:09:20;1
2;partially;synthesise yesterday boohoo;phew phooey;knowledgeably yearningly anenst;2024-01-30T05:50:26;2024-01-31T04:38:54;2
3;enchanting;gah;but;psst;2024-01-31T03:40:50;2024-01-30T11:44:26;2
4;jubilantly;briskly;abrade meanwhile punctually;which miserable hmph;2024-01-31T02:03:55;2024-01-30T11:33:11;1
5;um;for cheerfully openly;empathise;whoever canoe;2024-01-30T22:20:51;2024-01-30T20:36:09;2
6;once;furthermore except republic;favorable;commercial rumour yippee;2024-01-30T09:29:50;2024-01-30T10:33:00;1
7;ha;whoa roughly dismal;sociable uselessly;and;2024-01-30T10:38:54;2024-01-30T08:57:39;1
8;sudden harbour;furthermore;unbearably gadzooks;after yahoo;2024-01-31T04:25:44;2024-01-30T11:39:54;2
9;immediately self;alfalfa behind;but;queasy;2024-01-30T23:35:15;2024-01-30T13:05:28;2
10;espouse moral;to geez madly;or;immure than;2024-01-31T01:09:45;2024-01-30T20:37:40;1
